Groupe de la nomenclature INCA 2,Libellé,Type,Date,Région,Vague,Unité,Famille de substances,Substance,Contamination rapportée,LB,UB,MB
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2008,9,1,ng/g,Bromés,HBCD alpha,0.0366,0.0366,0.0366,0.0366
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2009,5,2,ng/g,Bromés,HBCD alpha,"< 0,01",0,0.01,0.005
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2008,9,2,ng/g,Bromés,HBCD alpha,"< 0,01",0,0.01,0.005
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2009,6,2,ng/g,Bromés,HBCD alpha,0.0073,0.0073,0.0073,0.0073
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2008,1,2,ng/g,Bromés,HBCD alpha,0.0099,0.0099,0.0099,0.0099
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2008,8,1,ng/g,Bromés,HBCD alpha,0.0213,0.0213,0.0213,0.0213
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2008,6,1,ng/g,Bromés,HBCD alpha,0.0013,0.0013,0.0013,0.0013
"Entremets, crèmes desserts et laits gélifiés",flan aux oeufs,R,2008,8,2,ng/g,Bromés,HBCD alpha,0.0008,0.0008,0.0008,0.0008
Lait,lait demi-écrémé,R,2007,1,1,ng/g,Bromés,HBCD alpha,0.0007,0.0007,0.0007,0.0007
Lait,lait demi-écrémé,R,2007,7,1,ng/g,Bromés,HBCD alpha,0.0003,0.0003,0.0003,0.0003
Lait,lait demi-écrémé,R,2008,2,1,ng/g,Bromés,HBCD alpha,"< 0,001",0,0.001,0.0005
Lait,lait demi-écrémé,R,2008,9,1,ng/g,Bromés,HBCD alpha,"< 0,002",0,0.002,0.001
Lait,lait demi-écrémé,R,2009,5,2,ng/g,Bromés,HBCD alpha,"< 0,002",0,0.002,0.001
Lait,lait demi-écrémé,R,2008,2,2,ng/g,Bromés,HBCD alpha,"< 0,002",0,0.002,0.001
Lait,lait demi-écrémé,R,2008,9,2,ng/g,Bromés,HBCD alpha,"< 0,002",0,0.002,0.001
Lait,lait demi-écrémé,R,2009,6,2,ng/g,Bromés,HBCD alpha,"< 0,002",0,0.002,0.001
Lait,lait demi-écrémé,R,2008,34,2,ng/g,Bromés,HBCD alpha,0.0006,0.0006,0.0006,0.0006
Lait,lait demi-écrémé,R,2008,5,1,ng/g,Bromés,HBCD alpha,0.0009,0.0009,0.0009,0.0009
Lait,lait demi-écrémé,R,2008,8,1,ng/g,Bromés,HBCD alpha,0.0002,0.0002,0.0002,0.0002
Lait,lait demi-écrémé,R,2008,7,2,ng/g,Bromés,HBCD alpha,0.0002,0.0002,0.0002,0.0002
Lait,lait demi-écrémé,R,2008,6,1,ng/g,Bromés,HBCD alpha,0.0009,0.0009,0.0009,0.0009
Lait,lait demi-écrémé,R,2008,1,2,ng/g,Bromés,HBCD alpha,0.0078,0.0078,0.0078,0.0078
Lait,lait demi-écrémé,R,2008,8,2,ng/g,Bromés,HBCD alpha,"< 0,0011",0,0.0011,0.00055
Lait,lait écrémé,R,2007,1,1,ng/g,Bromés,HBCD alpha,"< 0,0008",0,0.0008,0.0004
Lait,lait écrémé,R,2007,7,1,ng/g,Bromés,HBCD alpha,"< 0,001",0,0.001,0.0005
Lait,lait écrémé,R,2008,2,1,ng/g,Bromés,HBCD alpha,"< 0,0009",0,0.0009,0.00045
Lait,lait écrémé,R,2009,5,2,ng/g,Bromés,HBCD alpha,"< 0,0013",0,0.0013,0.00065
Lait,lait écrémé,R,2008,2,2,ng/g,Bromés,HBCD alpha,"< 0,0014",0,0.0014,0.0007
